date,A,B,C
1990-10-30,1.0,0.0,0.0
1992-03-24,0.0,0.0,2.0
1993-12-21,0.0,0.0,1.0
1994-02-22,0.0,0.0,2.0
1994-03-15,0.0,0.0,2.0
1994-04-12,0.0,0.0,3.0
1994-05-03,0.0,1.0,0.0
1994-05-17,0.0,2.0,0.0
1994-07-05,0.0,0.0,1.0
1995-05-02,0.0,0.0,1.0
1995-07-03,0.0,2.0,0.0
1996-04-23,0.0,0.0,1.0
1996-05-21,0.0,0.0,5.0
1996-06-11,0.0,1.0,0.0
1997-05-27,0.0,0.0,2.0
1997-07-01,0.0,1.0,0.0
1997-07-29,0.0,1.0,0.0
1997-12-16,0.0,0.0,1.0
1998-07-07,0.0,0.0,1.0
1998-07-28,0.0,0.0,1.0
1999-05-04,0.0,1.0,0.0
1999-05-11,0.0,1.0,0.0
1999-08-03,0.0,1.0,0.0
2000-04-14,0.0,2.0,0.0
2001-04-13,0.0,1.0,0.0
2001-05-22,0.0,0.0,18.0
2001-07-10,0.0,0.0,1.0
2001-09-28,0.0,0.0,3.0
2001-12-10,0.0,3.0,0.0
2002-01-24,1.0,1.0,0.0
2002-09-25,0.0,1.0,0.0
2002-10-08,0.0,1.0,0.0
2003-01-16,0.0,1.0,0.0
2003-11-03,0.0,1.0,4.0
2004-01-13,0.0,0.0,1.0
2004-01-20,0.0,2.0,0.0
2004-09-20,0.0,0.0,2.0
2004-10-25,1.0,1.0,0.0
2004-12-06,1.0,0.0,0.0
2004-12-17,0.0,2.0,1.0
2005-01-05,0.0,0.0,6.0
2005-02-23,0.0,0.0,2.0
2005-03-01,0.0,0.0,1.0
2005-03-03,0.0,0.0,1.0
2005-04-18,0.0,0.0,2.0
2005-05-24,0.0,0.0,2.0
2005-05-25,0.0,0.0,2.0
2005-06-01,0.0,0.0,2.0
2005-06-08,0.0,0.0,2.0
2005-08-05,0.0,1.0,0.0
2005-08-11,0.0,0.0,5.0
2005-08-16,0.0,0.0,2.0
2005-09-07,0.0,0.0,2.0
2005-10-04,0.0,0.0,2.0
2005-11-30,0.0,0.0,1.0
2006-01-25,0.0,1.0,0.0
2006-02-14,0.0,2.0,0.0
2006-03-20,0.0,0.0,1.0
2006-03-22,0.0,0.0,4.0
2006-03-27,0.0,2.0,0.0
2006-04-06,0.0,0.0,1.0
2006-04-21,0.0,1.0,0.0
2006-05-30,0.0,0.0,1.0
2006-06-01,0.0,0.0,1.0
2006-06-21,0.0,0.0,5.0
2006-07-06,0.0,0.0,1.0
2006-07-24,0.0,0.0,1.0
2006-07-28,2.0,0.0,0.0
2006-08-07,0.0,0.0,3.0
2006-08-21,0.0,0.0,1.0
2006-08-29,0.0,0.0,5.0
2006-10-20,0.0,0.0,1.0
2006-10-24,0.0,0.0,2.0
2006-11-06,0.0,0.0,2.0
2006-12-14,0.0,0.0,1.0
2007-02-23,0.0,0.0,3.0
2007-04-04,0.0,0.0,2.0
2007-04-19,0.0,1.0,0.0
2007-06-29,1.0,2.0,0.0
2007-07-09,0.0,0.0,3.0
2007-08-31,0.0,2.0,0.0
2007-09-19,0.0,1.0,0.0
2007-10-03,0.0,1.0,0.0
2007-10-29,0.0,1.0,0.0
2007-11-08,0.0,0.0,2.0
2007-12-26,0.0,3.0,0.0
2008-01-30,0.0,1.0,0.0
2008-02-04,0.0,1.0,0.0
2008-02-21,0.0,0.0,2.0
2008-04-14,0.0,2.0,0.0
2008-06-16,0.0,1.0,0.0
2008-06-19,0.0,0.0,1.0
2008-06-27,0.0,1.0,0.0
2008-07-01,1.0,0.0,0.0
2008-07-07,1.0,0.0,0.0
2008-08-18,0.0,3.0,0.0
2008-08-27,0.0,0.0,1.0
2008-10-15,0.0,0.0,2.0
2008-11-20,0.0,0.0,2.0
2009-02-23,0.0,0.0,1.0
2009-06-16,0.0,0.0,1.0
2009-06-18,2.0,0.0,0.0
2009-06-23,1.0,0.0,0.0
2009-07-08,0.0,0.0,1.0
2009-07-22,0.0,4.0,1.0
2009-08-17,1.0,1.0,0.0
2009-09-24,0.0,5.0,0.0
2009-10-14,0.0,1.0,0.0
2009-10-19,0.0,2.0,0.0
2009-11-16,0.0,0.0,1.0
2009-12-09,0.0,1.0,0.0
2010-01-19,0.0,1.0,0.0
2010-02-18,0.0,1.0,0.0
2010-02-19,5.0,10.0,0.0
2010-02-24,1.0,5.0,0.0
2010-03-01,0.0,8.0,1.0
2010-03-02,7.0,10.0,0.0
2010-03-03,0.0,2.0,0.0
2010-03-04,0.0,1.0,0.0
2010-03-08,0.0,0.0,5.0
2010-03-31,1.0,0.0,0.0
2010-04-06,0.0,3.0,0.0
2010-04-12,0.0,1.0,0.0
2010-04-23,0.0,1.0,0.0
2010-04-29,0.0,2.0,0.0
2010-05-06,0.0,2.0,0.0
2010-05-07,0.0,9.0,0.0
2010-05-10,1.0,0.0,0.0
2010-05-11,0.0,1.0,0.0
2010-05-21,0.0,5.0,0.0
2010-05-26,2.0,0.0,0.0
2010-06-01,1.0,1.0,0.0
2010-06-03,7.0,7.0,1.0
2010-06-04,0.0,0.0,5.0
2010-06-08,0.0,4.0,1.0
2010-06-11,0.0,2.0,0.0
2010-06-14,2.0,19.0,0.0
2010-06-22,0.0,8.0,0.0
2010-06-28,2.0,6.0,0.0
2010-06-30,2.0,5.0,1.0
2010-07-16,3.0,1.0,0.0
2010-08-03,0.0,4.0,0.0
2010-08-04,0.0,1.0,0.0
2010-08-09,0.0,8.0,1.0
2010-08-10,1.0,1.0,0.0
2010-10-04,0.0,1.0,0.0
2010-10-12,0.0,1.0,1.0
2010-10-15,2.0,4.0,0.0
2010-11-18,0.0,2.0,0.0
2010-12-06,0.0,1.0,0.0
2011-01-25,0.0,2.0,0.0
2011-03-10,0.0,1.0,0.0
2011-05-05,0.0,1.0,0.0
2011-07-28,0.0,1.0,1.0
2011-08-16,0.0,1.0,0.0
2011-08-25,0.0,4.0,0.0
2011-09-01,0.0,1.0,0.0
2011-09-13,5.0,7.0,3.0
2011-09-15,0.0,1.0,0.0
2011-09-16,0.0,1.0,0.0
2011-09-23,0.0,6.0,0.0
2011-09-30,0.0,1.0,0.0
2011-10-11,2.0,0.0,0.0
2011-10-18,1.0,0.0,0.0
2011-10-25,0.0,3.0,0.0
2011-12-08,0.0,1.0,0.0
2011-12-13,1.0,0.0,0.0
2012-01-11,0.0,3.0,0.0
2012-01-23,2.0,2.0,0.0
2012-01-27,0.0,1.0,0.0
2012-02-06,0.0,1.0,0.0
2012-02-07,0.0,3.0,0.0
2012-02-09,0.0,1.0,0.0
2012-02-14,0.0,4.0,0.0
2012-06-27,0.0,2.0,0.0
2012-08-07,1.0,1.0,0.0
2012-09-06,1.0,0.0,0.0
2012-09-17,0.0,2.0,0.0
2013-05-22,1.0,1.0,0.0
2013-06-06,0.0,1.0,0.0
2013-06-18,0.0,1.0,0.0
2013-06-24,1.0,0.0,0.0
2013-07-01,0.0,1.0,1.0
2013-07-15,0.0,1.0,0.0
2013-08-05,0.0,1.0,0.0
2013-10-01,0.0,2.0,0.0
2013-11-04,0.0,0.0,2.0
2013-11-12,2.0,0.0,0.0
2013-11-29,0.0,0.0,1.0
2013-12-03,0.0,1.0,0.0
2013-12-04,0.0,5.0,1.0
2013-12-10,0.0,5.0,0.0
