word	time	filler
"F D R DRIVE"	1017040005	0
"5 WEST 116 STREET"	1016000021	0
"EAST 110 STREET"	1017040008	0
"1 WEST 117 STREET"	1016010027	0
"72 EAST 97 STREET"	1016020038	0
"68 EAST 97 STREET"	1016020040	0
"64 EAST 97 STREET"	1016020042	0
"60 EAST 97 STREET"	1016020044	0
"52 EAST 97 STREET"	1016020046	0
"1391 MADISON AVENUE"	1016020050	0
"1392 MADISON AVENUE"	1016020057	0
"1396 MADISON AVENUE"	1016020058	0
"12 EAST 97 STREET"	1016020060	0
"6 EAST 97 STREET"	1016020066	0
"1158 5 AVENUE"	1016020069	0
"1160 5 AVENUE"	1016030001	0
"9 EAST 97 STREET"	1016030009	0
"15 EAST 97 STREET"	1016030011	0
"17 EAST 97 STREET"	1016030014	0
"51 EAST 97 STREET"	1016030020	0
"53 EAST 97 STREET"	1016030025	0
"57 EAST 97 STREET"	1016030027	0
"61 EAST 97 STREET"	1016030029	0
"65 EAST 97 STREET"	1016030031	0
"67 EAST 97 STREET"	1016030033	0
"69 EAST 97 STREET"	1016030034	0
"71 EAST 97 STREET"	1016030035	0
"50 EAST 98 STREET"	1016030039	0
"1413 MADISON AVENUE"	1016030050	0
"1411 MADISON AVENUE"	1016030051	0
"1409 MADISON AVENUE"	1016030052	0
"1407 MADISON AVENUE"	1016030053	0
"1408 MADISON AVENUE"	1016030057	0
"1410 MADISON AVENUE"	1016030058	0
"1414 MADISON AVENUE"	1016030059	0
"16 EAST 98 STREET"	1016030060	0
"4 EAST 98 STREET"	1016030063	0
"2 EAST 98 STREET"	1016030069	0
"1412 MADISON AVENUE"	1016030158	0
"1170 5 AVENUE"	1016040001	0
"1440 MADISON AVENUE"	1016040006	0
"19 EAST 98 STREET"	1016040013	0
"1420 MADISON AVENUE"	1016040017	0
"1425 MADISON AVENUE"	1016040023	0
"65 EAST 99 STREET"	1016050024	0
"3 EAST 101 STREET"	1016070003	0
"1470 MADISON AVENUE"	1016070005	0
"1200 5 AVENUE"	1016077501	0
"1212 5 AVENUE"	1016077502	0
"10 EAST 102 STREET"	1016077503	0
"1215 5 AVENUE"	1016080001	0
"5 EAST 102 STREET"	1016080005	0
"1490 MADISON AVENUE"	1016080017	0
"55 EAST 102 STREET"	1016080023	0
"1514 MADISON AVENUE"	1016080056	0
"24 EAST 103 STREET"	1016080057	0
"22 EAST 103 STREET"	1016080058	0
"20 EAST 103 STREET"	1016080059	0
"16 EAST 103 STREET"	1016080061	0
"14 EAST 103 STREET"	1016080062	0
"1216 5 AVENUE"	1016080069	0
"1220 5 AVENUE"	1016090001	0
"19 EAST 103 STREET"	1016090007	0
"1516 MADISON AVENUE"	1016090014	0
"1230 5 AVENUE"	1016100001	0
"21 EAST 104 STREET"	1016100009	0
"25 EAST 104 STREET"	1016100011	0
"27 EAST 104 STREET"	1016100012	0
"29 EAST 104 STREET"	1016100013	0
"1534 MADISON AVENUE"	1016100015	0
"1536 MADISON AVENUE"	1016100016	0
"1542 MADISON AVENUE"	1016100017	0
"1545 MADISON AVENUE"	1016100023	0
"1544 MADISON AVENUE"	1016100055	0
"1546 MADISON AVENUE"	1016100056	0
"1548 MADISON AVENUE"	1016100057	0
"1550 MADISON AVENUE"	1016100058	0
"26 EAST 105 STREET"	1016100059	0
"22 EAST 105 STREET"	1016100060	0
"18 EAST 105 STREET"	1016100062	0
"16 EAST 105 STREET"	1016100064	0
"1538 MADISON AVENUE"	1016100116	0
"1565 MADISON AVENUE"	1016100160	0
"1240 5 AVENUE"	1016110001	0
