count,bbl
64,1016670016
59,1018480031
54,1016280020
42,1018060007
35,1016300069
35,1017090024
32,1017080008
29,1016660028
23,1018470066
22,1016280050
22,1016770044
21,1016300067
20,1016650034
20,1016300061
18,1016610044
18,1017080007
17,1016610018
15,1016810007
14,1016300065
14,1016650038
12,1016300063
12,1016610017
12,1018470068
11,1016670018
10,1016610016
9,1016380015
9,1016280052
8,1016770040
8,1016880040
8,1016670009
7,1017830003
7,1016870011
6,1016440059
6,1016430070
6,1016600031
5,1016450001
4,1016880042
4,1016770041
4,1016380016
4,1016330051
4,1017080010
4,1016300072
3,1016670039
3,1016820051
3,1016300002
3,1017080011
2,1016280022
2,1017840021
1,1016650033
