inspectiondate,summed,summed_harlem
2012-06-30,,6.0
2012-07-31,,1.0
2012-08-31,,4.0
2012-09-30,,
2012-10-31,,
2012-11-30,,
2012-12-31,,
2013-01-31,,1.0
2013-02-28,,1.0
2013-03-31,,1.0
2013-04-30,2.0,16.0
2013-05-31,1.0,25.0
2013-06-30,3.0,25.0
2013-07-31,8.0,52.0
2013-08-31,,19.0
2013-09-30,3.0,18.0
2013-10-31,,27.0
2013-11-30,2.0,14.0
2013-12-31,,15.0
2014-01-31,1.0,8.0
2014-02-28,1.0,13.0
2014-03-31,3.0,41.0
2014-04-30,1.0,25.0
2014-05-31,,13.0
2014-06-30,2.0,7.0
2014-07-31,,13.0
2014-08-31,,21.0
2014-09-30,2.0,18.0
2014-10-31,1.0,16.0
2014-11-30,,9.0
2014-12-31,,11.0
2015-01-31,,6.0
2015-02-28,,11.0
2015-03-31,,21.0
2015-04-30,1.0,34.0
2015-05-31,,5.0
2015-06-30,,14.0
2015-07-31,1.0,20.0
2015-08-31,,12.0
2015-09-30,,22.0
2015-10-31,,18.0
2015-11-30,,15.0
2015-12-31,1.0,16.0
2016-01-31,,10.0
2016-02-29,,15.0
2016-03-31,,22.0
2016-04-30,3.0,26.0
2016-05-31,,7.0
2016-06-30,,10.0
2016-07-31,1.0,11.0
2016-08-31,,10.0
2016-09-30,,16.0
2016-10-31,,5.0
2016-11-30,,15.0
2016-12-31,,9.0
2017-01-31,,10.0
2017-02-28,,12.0
2017-03-31,2.0,20.0
2017-04-30,,5.0
2017-05-31,12.0,27.0
2017-06-30,2.0,22.0
2017-07-31,3.0,25.0
2017-08-31,3.0,46.0
2017-09-30,7.0,24.0
2017-10-31,6.0,19.0
2017-11-30,2.0,15.0
2017-12-31,2.0,20.0
2018-01-31,,22.0
2018-02-28,3.0,11.0
2018-03-31,,19.0
2018-04-30,3.0,22.0
2018-05-31,1.0,20.0
2018-06-30,2.0,5.0
