inspectiondate,East_Harlem_avg,harlem_total,Emerald_Equity_avg,emerald_equity_total
2013-04-24,.00002,1.0,0.00069,1.0
2013-04-26,.000078,4.0,0.00069,1.0
2013-05-10,,,0.00069,1.0
2013-06-03,.000098,5.0,0.00069,1.0
2013-06-27,.00002,1.0,0.00138,2.0
2013-07-12,0.000215,11.0,0.00207,3.0
2013-07-14,0.000215,11.0,0.002761,4.0
2013-07-15,0.000137,7.0,0.00069,1.0
2013-09-03,.000078,4.0,0.00207,3.0
2013-11-04,.00002,1.0,0.00069,1.0
2013-11-07,.000059,3.0,0.00069,1.0
2014-01-10,.000059,3.0,0.00069,1.0
2014-02-27,.000039,2.0,0.00069,1.0
2014-03-04,.000098,5.0,0.00069,1.0
2014-03-12,0.000547,28.0,0.00138,2.0
2014-04-24,.000098,5.0,0.00069,1.0
2014-06-14,,,0.00069,1.0
2014-06-24,.000059,3.0,0.00069,1.0
2014-09-02,0.000137,7.0,0.00069,1.0
2014-09-23,.000078,4.0,0.00069,1.0
2014-10-21,.000002,1.0,0.00069,1.0
2015-04-28,0.000117,6.0,0.00069,1.0
2015-07-06,.000078,4.0,0.00069,1.0
2015-12-15,.000078,4.0,0.00069,1.0
2016-04-06,.000059,3.0,0.00138,2.0
2016-04-29,.000078,4.0,0.00069,1.0
2016-07-19,.000039,2.0,0.00069,1.0
2017-03-24,.000059,3.0,0.00069,1.0
2017-03-31,.000039,2.0,0.00069,1.0
2017-05-08,.000098,5.0,0.00069,1.0
2017-05-19,0.000254,13.0,0.006901,10.0
2017-05-31,.000078,4.0,0.00069,1.0
2017-06-05,.000002,1.0,0.00069,1.0
2017-06-13,.000078,4.0,0.00069,1.0
2017-07-18,.000098,5.0,0.00069,1.0
2017-07-21,.000059,3.0,0.00138,2.0
2017-08-01,0.000156,8.0,0.00069,1.0
2017-08-02,0.000215,11.0,0.00069,1.0
2017-08-23,0.000117,6.0,0.00069,1.0
2017-09-06,0.000156,8.0,0.002761,4.0
2017-09-27,.000039,2.0,0.00069,1.0
2017-09-28,0.000117,6.0,0.00069,1.0
2017-09-29,0.000195,10.0,0.00069,1.0
2017-10-04,.000098,5.0,0.00138,2.0
2017-10-11,.000078,4.0,0.00138,2.0
2017-10-13,.000098,5.0,0.00069,1.0
2017-10-20,.000059,3.0,0.00069,1.0
2017-11-21,.000078,4.0,0.00138,2.0
2017-12-18,.000059,3.0,0.00069,1.0
2017-12-21,.000039,2.0,0.00069,1.0
2018-02-21,.000059,3.0,0.00138,2.0
2018-02-28,.000059,3.0,0.00069,1.0
