caseopendate,count,count_ee
2010-01-31,31.0,1.0
2010-02-28,12.0,0.0
2010-03-31,20.0,0.0
2010-04-30,11.0,1.0
2010-05-31,18.0,0.0
2010-06-30,13.0,0.0
2010-07-31,15.0,1.0
2010-08-31,14.0,1.0
2010-09-30,10.0,0.0
2010-10-31,12.0,0.0
2010-11-30,20.0,1.0
2010-12-31,32.0,12.0
2011-01-31,22.0,0.0
2011-02-28,20.0,0.0
2011-03-31,21.0,0.0
2011-04-30,12.0,0.0
2011-05-31,10.0,0.0
2011-06-30,11.0,0.0
2011-07-31,19.0,0.0
2011-08-31,9.0,1.0
2011-09-30,8.0,0.0
2011-10-31,14.0,0.0
2011-11-30,11.0,0.0
2011-12-31,14.0,0.0
2012-01-31,13.0,0.0
2012-02-29,28.0,1.0
2012-03-31,19.0,0.0
2012-04-30,12.0,0.0
2012-05-31,10.0,0.0
2012-06-30,14.0,0.0
2012-07-31,14.0,0.0
2012-08-31,10.0,0.0
2012-09-30,12.0,0.0
2012-10-31,9.0,0.0
2012-11-30,10.0,0.0
2012-12-31,12.0,0.0
2013-01-31,17.0,2.0
2013-02-28,24.0,2.0
2013-03-31,20.0,0.0
2013-04-30,24.0,2.0
2013-05-31,12.0,0.0
2013-06-30,15.0,0.0
2013-07-31,14.0,2.0
2013-08-31,13.0,1.0
2013-09-30,11.0,0.0
2013-10-31,19.0,2.0
2013-11-30,13.0,0.0
2013-12-31,15.0,2.0
2014-01-31,15.0,5.0
2014-02-28,27.0,2.0
2014-03-31,20.0,1.0
2014-04-30,25.0,2.0
2014-05-31,14.0,5.0
2014-06-30,21.0,3.0
2014-07-31,6.0,0.0
2014-08-31,14.0,1.0
2014-09-30,11.0,0.0
2014-10-31,12.0,1.0
2014-11-30,6.0,1.0
2014-12-31,14.0,3.0
2015-01-31,23.0,0.0
2015-02-28,29.0,3.0
2015-03-31,17.0,3.0
2015-04-30,40.0,4.0
2015-05-31,13.0,0.0
2015-06-30,12.0,0.0
2015-07-31,10.0,1.0
2015-08-31,12.0,1.0
2015-09-30,18.0,2.0
2015-10-31,9.0,1.0
2015-11-30,18.0,0.0
2015-12-31,18.0,3.0
2016-01-31,13.0,1.0
2016-02-29,30.0,2.0
2016-03-31,18.0,0.0
2016-04-30,19.0,3.0
2016-05-31,12.0,0.0
2016-06-30,13.0,1.0
2016-07-31,11.0,0.0
2016-08-31,17.0,0.0
2016-09-30,18.0,1.0
2016-10-31,10.0,2.0
2016-11-30,13.0,0.0
2016-12-31,15.0,1.0
2017-01-31,23.0,5.0
2017-02-28,26.0,3.0
2017-03-31,29.0,6.0
2017-04-30,17.0,6.0
2017-05-31,26.0,4.0
2017-06-30,13.0,3.0
2017-07-31,6.0,0.0
2017-08-31,17.0,5.0
2017-09-30,7.0,1.0
2017-10-31,19.0,4.0
2017-11-30,25.0,8.0
2017-12-31,21.0,5.0
2018-01-31,25.0,3.0
2018-02-28,32.0,4.0
2018-03-31,20.0,2.0
2018-04-30,21.0,6.0
2018-05-31,22.0,2.0
