count,caseopendate
1,2018-05-31 00:00:00
1,2018-05-30 00:00:00
2,2018-05-25 00:00:00
1,2018-05-24 00:00:00
1,2018-05-21 00:00:00
2,2018-05-17 00:00:00
1,2018-05-16 00:00:00
1,2018-05-15 00:00:00
1,2018-05-14 00:00:00
3,2018-05-11 00:00:00
1,2018-05-10 00:00:00
1,2018-05-08 00:00:00
1,2018-05-07 00:00:00
1,2018-05-04 00:00:00
1,2018-05-03 00:00:00
3,2018-05-02 00:00:00
1,2018-04-30 00:00:00
1,2018-04-27 00:00:00
1,2018-04-24 00:00:00
1,2018-04-23 00:00:00
1,2018-04-20 00:00:00
2,2018-04-19 00:00:00
1,2018-04-18 00:00:00
2,2018-04-12 00:00:00
3,2018-04-10 00:00:00
1,2018-04-09 00:00:00
3,2018-04-06 00:00:00
1,2018-04-05 00:00:00
3,2018-04-02 00:00:00
3,2018-03-27 00:00:00
1,2018-03-23 00:00:00
2,2018-03-22 00:00:00
1,2018-03-19 00:00:00
1,2018-03-16 00:00:00
1,2018-03-07 00:00:00
10,2018-03-02 00:00:00
1,2018-03-01 00:00:00
1,2018-02-27 00:00:00
7,2018-02-26 00:00:00
2,2018-02-22 00:00:00
1,2018-02-20 00:00:00
1,2018-02-15 00:00:00
1,2018-02-14 00:00:00
9,2018-02-13 00:00:00
2,2018-02-06 00:00:00
7,2018-02-05 00:00:00
1,2018-02-01 00:00:00
2,2018-01-30 00:00:00
1,2018-01-29 00:00:00
4,2018-01-26 00:00:00
1,2018-01-24 00:00:00
1,2018-01-23 00:00:00
10,2018-01-22 00:00:00
1,2018-01-18 00:00:00
1,2018-01-16 00:00:00
1,2018-01-12 00:00:00
1,2018-01-10 00:00:00
2,2018-01-03 00:00:00
1,2017-12-29 00:00:00
3,2017-12-28 00:00:00
1,2017-12-27 00:00:00
1,2017-12-19 00:00:00
5,2017-12-18 00:00:00
3,2017-12-15 00:00:00
1,2017-12-08 00:00:00
2,2017-12-07 00:00:00
2,2017-12-05 00:00:00
2,2017-12-01 00:00:00
1,2017-11-29 00:00:00
7,2017-11-28 00:00:00
1,2017-11-22 00:00:00
1,2017-11-21 00:00:00
1,2017-11-20 00:00:00
1,2017-11-17 00:00:00
1,2017-11-16 00:00:00
4,2017-11-14 00:00:00
2,2017-11-13 00:00:00
4,2017-11-06 00:00:00
1,2017-11-03 00:00:00
1,2017-11-02 00:00:00
6,2017-10-30 00:00:00
1,2017-10-27 00:00:00
1,2017-10-19 00:00:00
1,2017-10-17 00:00:00
4,2017-10-16 00:00:00
2,2017-10-12 00:00:00
2,2017-10-11 00:00:00
2,2017-10-05 00:00:00
1,2017-09-26 00:00:00
1,2017-09-18 00:00:00
1,2017-09-15 00:00:00
1,2017-09-08 00:00:00
2,2017-09-05 00:00:00
1,2017-09-01 00:00:00
1,2017-08-31 00:00:00
1,2017-08-30 00:00:00
1,2017-08-29 00:00:00
1,2017-08-24 00:00:00
3,2017-08-18 00:00:00
4,2017-08-15 00:00:00
1,2017-08-11 00:00:00
2,2017-08-10 00:00:00
1,2017-08-09 00:00:00
1,2017-08-08 00:00:00
1,2017-08-04 00:00:00
1,2017-07-31 00:00:00
1,2017-07-28 00:00:00
1,2017-07-25 00:00:00
1,2017-07-24 00:00:00
1,2017-07-17 00:00:00
1,2017-07-10 00:00:00
1,2017-06-30 00:00:00
1,2017-06-26 00:00:00
1,2017-06-21 00:00:00
3,2017-06-20 00:00:00
2,2017-06-16 00:00:00
1,2017-06-13 00:00:00
1,2017-06-05 00:00:00
1,2017-06-02 00:00:00
