inspectiondate,class
2015-10-01,I
2010-02-17,A
2010-02-17,B
2010-02-17,B
2010-06-07,B
2010-02-17,B
2010-02-17,B
2010-02-17,B
2010-02-17,B
2010-07-03,B
2010-07-03,B
2010-07-03,B
2014-02-17,A
2014-02-17,C
2014-02-17,B
2018-04-07,C
2014-04-13,B
2014-04-13,B
2014-04-13,B
2014-04-13,B
2014-04-13,B
2014-04-13,B
2014-04-13,C
2014-04-13,A
2014-04-13,A
2018-06-04,A
2018-06-04,A
2018-06-04,C
2014-06-26,C
2014-06-26,B
2014-06-26,B
2014-06-26,B
2014-06-26,B
2014-06-26,B
2014-06-28,B
2014-06-28,B
2014-06-28,B
2014-06-28,B
2014-06-26,B
2014-06-28,B
2014-07-07,B
2014-07-07,B
2014-07-07,B
2014-07-07,B
2014-07-07,B
2014-07-07,B
2014-07-07,B
2014-07-07,A
2014-07-25,B
2014-07-25,C
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,B
2014-07-25,A
2014-08-28,B
2014-08-28,A
2014-08-28,B
2014-08-28,B
2014-08-28,B
2014-08-28,B
2014-08-28,A
2014-11-24,B
2014-11-24,B
2014-11-24,B
2014-11-24,B
2014-11-24,B
2014-11-24,B
2014-11-24,B
2014-11-24,A
2015-03-18,A
2015-03-18,C
2015-03-18,B
2015-03-18,B
2015-03-27,B
2015-03-27,B
2015-03-27,A
2015-03-27,A
2015-03-27,A
2015-03-27,B
2015-03-27,B
2015-03-27,B
2015-03-27,B
2015-03-27,B
2015-03-27,B
2015-03-27,A
2015-04-29,B
2015-04-29,B
2015-04-29,B
2015-04-29,B
2015-04-29,B
2015-05-06,B
2018-03-16,C
2015-06-18,B
2015-06-18,B
2015-07-09,B
2015-07-09,B
2015-07-09,A
2015-07-09,A
2015-07-23,B
2015-07-23,B
2015-08-18,B
2015-08-18,B
2015-08-18,B
2015-08-18,B
2015-08-18,A
2015-12-09,A
2016-01-20,B
2016-01-20,C
2016-01-20,A
2016-01-20,C
2016-01-20,A
2016-01-20,A
2016-01-22,A
2016-01-22,B
2016-10-17,B
2016-10-17,B
2016-10-17,B
2016-10-17,B
2016-10-17,C
2016-10-17,B
2016-10-17,B
2016-10-17,B
2016-10-17,B
2016-10-17,A
2016-11-12,B
2016-11-12,B
2016-11-12,B
2016-11-12,B
2016-12-01,A
2016-12-01,B
2016-12-01,B
2016-12-14,B
2016-12-14,B
2017-02-01,A
2017-02-01,A
2017-02-01,B
2018-03-28,C
2018-03-28,C
2001-07-06,C
2001-12-05,B
2001-12-05,B
2001-12-05,B
2005-05-20,C
2005-05-20,C
2006-08-08,C
2006-08-08,C
2006-08-08,C
2006-08-08,C
2006-08-08,C
2006-08-08,C
2009-07-20,B
2009-07-20,B
2009-07-20,B
2009-07-20,C
2009-07-20,B
2013-01-03,C
2013-01-12,A
2013-01-29,A
2013-07-13,B
2013-07-13,B
2018-03-28,C
2014-02-17,C
2014-02-17,A
2014-02-17,B
2014-02-17,B
2014-02-17,B
2014-02-17,A
2014-02-17,B
2014-02-17,B
2014-02-17,C
2018-04-07,B
2018-04-07,B
2018-03-02,C
2018-04-07,B
2000-06-07,C
2005-11-01,C
2005-11-01,B
2006-07-30,B
2007-01-09,C
2007-01-09,C
2007-01-09,C
2007-06-22,C
2007-06-22,C
2009-01-16,B
2010-10-15,B
2010-10-15,C
2011-04-02,B
2011-04-02,B
2011-04-02,B
2011-04-02,B
2011-11-04,C
2011-11-04,B
2011-11-04,B
2011-11-26,C
2012-11-28,B
2012-11-28,B
2012-12-11,C
2012-12-11,B
2013-01-09,C
2013-01-09,C
2013-01-12,C
2013-01-12,B
2013-01-12,B
2013-01-12,B
2013-01-12,B
2013-01-12,B
2013-01-12,C
2013-01-12,C
2013-01-12,C
2013-01-12,B
2013-01-12,A
2013-01-29,B
2013-02-07,C
2013-02-07,C
2013-03-27,B
2013-03-27,B
2013-03-27,B
2013-03-27,B
2013-03-27,A
2013-06-20,A
2013-06-20,B
2013-06-20,B
2013-06-20,B
2013-06-20,C
2013-06-20,A
2013-06-20,A
2013-06-20,A
2013-06-20,A
2013-06-20,A
2013-06-20,B
2013-06-20,B
2013-06-20,B
2013-06-20,A
2013-07-13,C
2013-07-13,B
2013-07-13,B
2013-07-13,B
2013-07-13,B
2013-07-13,B
2013-07-13,B
2013-07-13,B
2013-07-13,B
2013-07-13,A
2013-07-13,C
2013-09-18,A
2013-09-18,B
2014-04-13,C
2014-04-13,C
2014-06-28,C
2014-07-07,C
2014-07-25,C
2014-08-28,C
2015-03-27,C
2015-04-29,C
2015-08-18,C
2016-10-17,C
2016-11-12,C
2016-12-01,C
2016-12-14,C
2013-01-12,C
2013-03-27,C
2013-06-20,C
2013-07-13,C
2018-03-02,B
2018-04-07,C
2018-04-07,C
2018-04-07,B
2018-04-07,B
2018-04-07,B
2018-04-07,C
2018-02-23,C
2018-04-07,B
2018-02-23,B
2018-05-11,C
2018-03-02,A
2018-03-02,A
2018-03-02,A
2018-03-02,C
2018-03-02,A
2018-03-02,A
2018-03-02,C
2018-03-02,B
2018-03-02,A
2018-03-02,A
2018-03-02,A
2018-05-27,C
2018-04-07,B
2018-04-07,B
2018-05-27,A
2018-05-27,A
2018-05-27,B
2018-05-27,B
2018-05-27,A
2018-03-02,A
2018-03-02,A
2018-05-25,C
2018-05-25,B
2018-05-25,B
2018-03-13,C
2018-03-13,C
2018-03-13,C
2013-11-29,C
2013-11-29,B
2013-11-29,B
2013-11-29,B
2013-11-29,B
2013-11-29,B
2013-12-06,C
2013-12-06,C
2013-12-06,B
2013-12-06,C
2013-12-06,C
2013-12-06,C
2013-12-06,C
2013-12-15,B
2013-12-15,A
2014-09-10,B
2014-09-10,B
2014-09-10,B
2014-09-10,B
2014-09-10,B
2014-09-10,B
2014-09-10,B
2014-09-10,C
2014-09-10,B
2015-01-22,B
2015-09-08,B
2015-09-08,B
2015-09-08,B
2015-09-08,B
2015-09-14,A
2015-09-14,B
2015-09-14,B
2015-09-14,A
2015-09-14,A
2015-09-16,B
2015-10-01,I
2015-10-13,A
2015-10-13,B
2015-11-18,C
2016-08-01,A
2016-08-01,B
2016-08-01,B
2016-08-01,B
2016-08-12,B
2016-08-12,C
2016-08-12,A
2017-05-14,B
2017-05-14,B
2017-05-14,B
2017-05-14,B
2017-05-14,B
2017-05-14,B
2017-05-14,C
2017-05-16,B
2017-05-16,B
2017-05-16,B
2017-05-24,A
2017-05-24,A
2017-05-24,A
2017-05-24,A
2017-05-24,C
2017-05-24,A
2017-05-24,A
2017-07-18,C
2017-07-18,A
2006-03-22,B
2007-12-20,B
2008-04-10,B
2008-04-10,B
2010-02-25,B
2010-02-25,B
2010-02-25,B
2010-02-25,A
2010-05-29,A
2010-05-29,A
2010-05-29,B
2010-05-29,A
2010-05-29,B
2010-05-29,A
2010-05-29,C
2010-05-29,A
2010-05-29,B
2010-05-29,A
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,A
2010-05-29,B
2010-11-13,B
2010-11-13,B
2011-03-06,B
2012-06-22,B
2012-06-22,B
2012-07-27,B
2012-07-27,B
2013-01-06,B
2013-01-06,B
2013-12-15,C
1994-11-22,B
2003-10-06,B
2008-04-10,C
2008-04-10,C
2008-04-10,C
2010-02-24,B
2010-02-25,B
2010-02-25,A
2010-02-25,B
2010-02-25,A
2010-02-25,A
2010-02-25,C
2010-02-25,C
2010-02-25,C
2010-02-25,C
2010-03-29,B
2010-03-29,B
2010-03-29,B
2010-03-29,B
2010-05-29,A
2010-05-29,A
2010-05-29,A
2010-05-29,A
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,A
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,A
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,B
2010-05-29,C
2010-05-29,A
2010-06-22,C
2010-06-22,B
2010-06-22,B
2010-06-22,C
2010-06-22,C
2010-07-06,B
2010-07-06,B
2011-03-06,B
2012-04-11,B
2012-04-11,C
2012-05-12,C
2012-07-27,A
2012-07-27,A
2012-07-31,A
2012-07-27,A
2013-01-03,C
2013-01-03,C
2013-01-03,C
2013-01-03,C
2013-01-06,C
2013-01-06,C
2013-01-09,C
2013-03-01,A
2013-03-01,C
2013-03-02,B
2013-03-02,B
2013-03-05,B
2013-03-05,C
2013-03-14,C
2017-05-24,B
2017-05-16,A
2017-05-16,A
2017-05-16,A
2017-05-14,A
2017-12-08,C
2017-12-08,A
2013-12-06,C
2013-12-06,C
2013-12-06,C
2013-12-15,C
2015-01-22,C
2015-09-16,C
2016-09-20,C
2017-05-16,C
2017-05-24,C
2012-06-22,C
2012-07-27,C
2017-07-18,B
2017-07-18,B
2017-05-24,A
2017-12-01,B
2017-12-08,B
2017-12-08,B
2014-03-11,B
2014-09-29,B
2015-02-07,B
2015-02-07,A
2015-02-07,B
2015-02-07,A
2015-02-07,B
2015-02-07,B
2015-06-01,B
2015-06-01,B
2015-06-01,B
2015-06-01,A
2015-09-16,B
2015-09-16,B
2015-09-16,B
2015-09-16,B
2015-09-16,C
2015-10-16,B
2015-10-16,B
2015-10-16,B
2015-10-16,B
2015-10-16,B
2016-03-15,C
2016-03-15,C
2016-03-15,B
2016-03-15,B
2016-03-15,B
2016-03-15,A
2016-10-22,B
2016-10-22,B
2016-10-22,A
2016-10-26,B
2017-01-06,B
2017-01-06,B
2017-01-06,B
2017-01-06,B
2017-01-06,A
2017-01-18,B
2017-01-18,B
2017-01-18,B
2017-02-19,C
2017-02-19,C
2017-03-29,C
2017-03-29,C
2017-04-21,B
2017-04-21,C
2017-04-21,B
2017-04-21,B
2017-04-21,A
2017-05-19,B
2017-05-22,B
2017-05-22,B
2017-06-05,B
2017-06-21,B
2017-06-27,C
2017-06-27,B
2017-06-27,A
2017-06-27,C
2017-06-27,C
2017-06-27,B
2017-06-27,A
2017-06-27,A
2017-06-27,B
2017-07-29,A
2017-07-29,A
2017-07-29,B
2017-07-29,A
2017-07-29,A
2017-07-29,B
2017-07-29,A
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,A
2017-07-29,A
1987-08-03,B
2010-02-21,B
2010-04-18,B
2014-02-04,A
2014-02-04,A
2014-02-19,B
2014-02-19,B
2014-03-11,C
2017-07-29,A
2017-07-29,A
1997-06-13,B
1992-04-10,A
2004-12-15,B
2004-12-16,B
2005-05-13,B
2005-05-13,C
2010-01-07,B
2010-01-07,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,B
2010-02-21,A
2010-02-21,B
2010-02-21,A
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,B
2010-03-02,A
2010-03-02,C
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,A
2010-04-18,B
2010-04-18,B
2010-04-18,B
2010-05-26,C
2010-05-26,B
2010-05-26,B
2010-05-26,B
2010-06-02,B
2010-05-26,C
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-04-18,A
2010-06-07,B
2010-06-07,B
2010-10-27,B
2010-10-27,C
2011-01-19,B
2011-01-19,B
2011-01-19,B
2011-01-19,B
2011-01-19,B
2012-06-05,B
2012-06-05,B
2012-06-05,C
2012-06-05,B
2012-06-05,A
2012-08-14,A
2012-10-24,C
2012-11-03,B
2012-11-03,B
2012-11-03,B
2012-11-03,B
2012-11-03,A
2013-01-25,B
2013-01-25,B
2013-01-25,B
2017-07-29,C
2014-02-04,C
2014-02-19,C
2014-09-29,C
2016-03-15,C
2016-10-22,C
2012-08-14,C
2012-10-24,C
2012-11-03,C
2017-07-29,C
2017-09-11,A
2017-09-11,A
2017-09-11,A
2017-09-11,A
2017-09-11,A
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-09-23,B
2017-09-23,B
2017-09-23,B
2016-03-15,B
2016-10-22,B
2016-10-22,B
2016-10-22,B
2017-06-27,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2011-01-19,B
2015-09-14,B
2016-10-22,B
2016-10-22,B
2016-10-22,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-07-29,B
2017-09-11,B
2017-09-25,B
2010-02-21,B
2010-04-18,C
2013-10-03,B
2018-01-26,A
2018-01-26,A
2018-01-26,A
2018-01-26,A
2018-01-26,C
2017-07-29,B
2018-01-26,A
2017-09-25,B
2017-09-11,B
2017-09-11,B
2017-09-11,B
2010-04-18,C
2010-04-18,B
2010-05-26,C
2017-06-27,A
2017-06-27,A
2017-01-06,A
2017-09-11,A
2017-09-11,B
2010-04-18,A
2014-02-19,A
2015-09-14,B
2015-09-16,A
2015-09-16,A
2016-03-15,A
2016-10-22,B
2017-01-06,A
2017-01-06,A
2017-07-29,B
2017-07-29,B
2017-07-29,A
2017-07-29,A
2017-07-29,A
2017-07-29,A
2017-09-11,A
2017-09-11,B
2017-10-22,B
2017-10-22,B
2010-02-21,A
2010-05-26,B
2018-05-10,C
2017-07-29,A
1992-04-10,B
2018-05-10,B
2018-05-10,A
2018-05-10,A
2017-10-22,B
2017-10-22,B
2017-10-22,B
2017-07-29,A
2018-05-17,B
2015-10-01,I
2015-10-08,B
2015-10-30,B
2015-10-30,B
2015-10-30,B
2015-10-30,B
2017-06-26,C
2017-06-26,C
2017-06-27,A
2017-07-21,A
2017-07-21,A
2017-07-21,A
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
2014-04-24,B
2017-08-12,A
2003-10-29,A
2018-03-04,B
2018-03-04,B
2006-07-25,B
2018-02-22,B
2008-07-09,B
2010-02-18,B
2010-02-18,B
2010-07-25,B
2010-07-25,B
2010-07-25,B
2010-07-25,B
2010-07-25,B
2018-02-22,B
2017-06-26,A
2017-06-26,A
2013-06-22,C
2017-10-04,C
2017-10-04,C
2017-12-05,B
2018-01-28,B
2018-04-04,C
2018-04-04,C
2018-01-15,A
2018-02-22,B
2018-01-15,A
2018-01-28,C
2017-10-04,C
2017-10-04,C
2017-10-04,B
2017-10-04,B
2017-10-04,C
2017-10-04,C
2017-08-12,A
2017-10-04,C
2017-10-27,B
2018-03-04,B
1999-06-04,C
2017-10-27,B
2003-10-29,B
2015-10-30,B
2017-11-29,B
2017-11-30,B
2018-02-21,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
1999-06-04,C
2018-01-28,C
2018-02-22,A
2018-02-22,A
2018-02-22,A
2018-02-22,B
2018-02-22,B
2018-02-22,B
1999-06-04,C
1999-06-04,C
2018-02-27,A
2003-08-06,C
2003-08-06,C
2003-10-29,B
2003-10-29,B
2018-03-04,B
2003-05-04,B
2003-10-29,C
2003-10-29,B
2003-10-29,B
2018-02-21,C
2018-02-27,B
2018-03-04,B
2018-03-04,B
2018-03-04,B
2018-03-04,B
2018-03-04,B
2018-02-27,A
2018-03-04,C
2018-03-04,B
2018-03-04,B
2014-03-06,C
2015-01-28,B
2015-01-28,B
2015-01-28,B
2015-01-28,B
2015-01-28,B
2015-05-21,B
2015-05-21,B
2015-05-21,B
2015-05-21,B
2015-05-21,B
2015-05-21,B
2015-05-21,B
2015-07-02,B
2015-08-14,A
2015-08-17,B
2015-08-17,C
2015-08-17,B
2015-10-03,C
2015-10-13,I
2016-01-07,C
2016-01-08,B
2016-01-08,B
2016-01-08,A
2016-01-08,B
2016-01-08,A
2016-01-08,B
2016-01-13,C
2016-01-13,C
2016-01-19,C
2016-01-19,C
2016-01-22,B
2016-01-22,B
2016-01-22,B
2016-01-22,B
2016-01-22,C
2016-01-22,A
2016-01-22,B
2016-01-22,B
2016-01-22,B
2016-11-01,B
2016-11-01,B
2016-11-01,B
2016-11-01,C
2016-11-06,B
2016-11-06,A
2016-11-18,A
2016-11-18,A
2016-11-27,C
2016-11-27,C
2016-12-01,C
2016-12-01,C
2016-12-01,C
2017-01-11,B
2017-01-11,B
2017-01-19,B
2017-01-19,B
2017-01-19,B
2017-01-19,B
2017-01-19,B
2017-01-19,B
2017-03-17,C
1996-01-12,B
1996-01-14,B
2013-03-04,C
2013-12-17,B
2013-12-17,B
2013-12-17,B
2013-12-17,B
2013-12-17,B
2013-12-30,B
2013-12-30,A
2013-12-30,B
2014-01-28,C
2014-01-28,C
2014-02-09,C
2014-02-10,C
2014-02-28,C
2014-02-28,C
2014-03-06,C
2014-03-14,C
2014-03-14,C
2014-04-07,C
2002-10-19,B
2003-08-11,B
2003-08-11,B
2008-07-21,A
2008-07-21,A
2008-07-21,A
2008-09-11,B
2008-09-11,B
2008-09-11,B
2008-09-11,B
2008-09-11,B
2008-09-11,C
2008-09-11,B
2008-09-11,B
2008-09-11,B
2009-01-14,C
2009-02-10,C
2009-03-21,B
2009-03-21,C
2012-10-24,B
2012-10-24,B
2012-10-24,B
2012-10-24,B
2013-05-22,B
2015-10-03,B
2015-10-03,B
2015-10-03,B
2015-10-03,B
2015-10-03,B
2015-10-03,B
2016-09-06,B
2016-09-06,B
2016-09-06,B
2016-09-06,B
2016-09-06,A
2017-03-17,C
2017-03-17,C
2017-05-09,B
2017-05-09,C
2017-05-09,A
2017-05-09,A
2017-05-24,B
2017-05-24,B
2017-05-24,B
2017-05-24,A
2017-05-24,A
2017-05-24,A
2017-05-24,A
2017-05-24,C
2017-06-14,A
2017-06-14,A
2017-06-14,A
2017-06-14,A
2017-06-14,A
2017-06-14,C
2017-06-14,A
2017-08-07,B
2017-08-07,B
2017-08-14,B
2010-07-04,B
2010-07-04,B
2013-03-04,C
2013-03-04,C
2014-04-07,C
2016-12-01,C
2017-12-18,A
2017-12-18,A
2017-12-18,C
2017-08-14,C
2017-08-14,C
2017-09-08,C
2018-01-11,C
2017-01-30,C
2017-12-15,B
2017-09-28,C
2018-01-11,C
2017-11-09,B
2018-01-17,C
2017-11-20,C
2017-11-02,C
2017-10-26,B
2017-10-26,B
2017-10-26,B
2017-11-12,C
2017-11-12,C
2017-11-09,B
2017-11-12,C
2018-03-02,C
2015-10-01,I
1996-05-31,B
1999-09-25,A
1999-09-25,B
1999-09-25,B
2000-04-28,B
2000-04-28,B
2010-07-18,B
2010-07-18,B
2018-05-11,B
2018-05-11,B
