complaintcategory,status,complaintnumber,inspectiondate,housenumber,housestreet
94,CLOSED,1346637,2013-04-24,233,EAST 111 STREET
59,CLOSED,1347201,2013-04-26,1575,LEXINGTON AVENUE
05,ACTIVE,1347860,,1571,LEXINGTON AVENUE
09,ACTIVE,1348566,,1569,LEXINGTON AVENUE
05,ACTIVE,1348619,,1571,LEXINGTON AVENUE
05,CLOSED,1348957,2013-05-10,350,MANHATTAN AVENUE
05,CLOSED,1349886,2013-06-03,350,MANHATTAN AVENUE
37,ACTIVE,1351511,,350,MANHATTAN AVENUE
59,CLOSED,1351542,2013-06-27,350,MANHATTAN AVENUE
83,CLOSED,1351541,2013-06-27,350,MANHATTAN AVENUE
37,CLOSED,1351511,2013-06-27,350,MANHATTAN AVENUE
59,CLOSED,1351542,2013-07-08,350,MANHATTAN AVENUE
05,CLOSED,1347860,2013-07-12,1571,LEXINGTON AVENUE
05,CLOSED,1345199,2013-07-12,1569,LEXINGTON AVENUE
05,CLOSED,1344852,2013-07-12,1575,LEXINGTON AVENUE
05,ACTIVE,1345324,2013-07-14,228,EAST 116 STREET
05,ACTIVE,1345390,2013-07-14,228,EAST 116 STREET
05,CLOSED,1345701,2013-07-14,411,EAST 118 STREET
09,CLOSED,1345705,2013-07-14,411,EAST 118 STREET
05,CLOSED,1347200,2013-07-12,1575,LEXINGTON AVENUE
09,CLOSED,1348566,2013-07-12,1569,LEXINGTON AVENUE
05,ACTIVE,1352560,,126,EAST 103 STREET
05,CLOSED,1352560,2013-07-16,126,EAST 103 STREET
05,CLOSED,1345390,2013-07-20,228,EAST 116 STREET
05,CLOSED,1345324,2013-07-20,228,EAST 116 STREET
58,ACTIVE,1353205,,321,EAST 115 STREET
05,ACTIVE,1353403,,419,EAST 114 STREET
05,CLOSED,1353403,2013-08-03,419,EAST 114 STREET
83,CLOSED,1351541,2013-08-06,350,MANHATTAN AVENUE
09,ACTIVE,1355349,,311,EAST 109 STREET
05,ACTIVE,1355528,,233,EAST 111 STREET
91,ACTIVE,1355571,,233,EAST 111 STREET
91,CLOSED,1355571,2013-09-02,233,EAST 111 STREET
05,ACTIVE,1355839,,237,EAST 111 STREET
58,ACTIVE,1353205,2013-07-24,321,EAST 115 STREET
58,CLOSED,1344413,2013-07-15,231,EAST 117 STREET
05,CLOSED,1355839,2013-09-21,237,EAST 111 STREET
58,CLOSED,1341171,2013-09-03,1575,LEXINGTON AVENUE
58,CLOSED,1341634,2013-09-03,1575,LEXINGTON AVENUE
58,CLOSED,1341640,2013-09-03,1575,LEXINGTON AVENUE
45,ACTIVE,1356902,,215,EAST 117 STREET
91,ACTIVE,1357059,,228,EAST 116 STREET
91,CLOSED,1357059,2013-09-27,228,EAST 116 STREET
05,ACTIVE,1357846,,311,EAST 109 STREET
45,CLOSED,1356902,2013-10-19,215,EAST 117 STREET
59,CLOSED,1351542,2013-10-23,350,MANHATTAN AVENUE
05,ACTIVE,1359126,,244,EAST 117 STREET
05,CLOSED,1355528,2013-10-26,233,EAST 111 STREET
5A,ACTIVE,1359368,,2171,3 AVENUE
5A,ACTIVE,1359368,2013-10-29,2171,3 AVENUE
05,CLOSED,1359126,2013-10-30,244,EAST 117 STREET
45,ACTIVE,1359841,,312,WEST 114 STREET
04,ACTIVE,1360049,,350,MANHATTAN AVENUE
5A,CLOSED,1359368,2013-11-07,2171,3 AVENUE
45,ACTIVE,1360091,,312,WEST 114 STREET
45,ACTIVE,1360170,,312,WEST 114 STREET
05,CLOSED,1360283,2013-11-07,2173,3 AVENUE
04,CLOSED,1360049,2013-11-11,350,MANHATTAN AVENUE
09,CLOSED,1355349,2013-11-16,311,EAST 109 STREET
