complaintcategory,status,complaintnumber,inspectiondate,bbl
04,ACTIVE,1442025,,1016650034
58,ACTIVE,1442140,,1016300069
04,CLOSED,1442025,2017-01-28,1016650034
30,ACTIVE,1443551,,1016670039
45,ACTIVE,1443498,,1017830003
30,ACTIVE,1443551,2017-02-16,1016670039
58,CLOSED,1442140,2017-02-17,1016300069
30,CLOSED,1443551,2017-02-17,1016670039
05,ACTIVE,1445230,,1016280020
05,ACTIVE,1445500,,1016280020
1L,ACTIVE,1445507,,1016280020
05,ACTIVE,1445686,,1016670016
1Z,ACTIVE,1445723,,1016280020
05,CLOSED,1445686,2017-03-16,1016670016
1Z,ACTIVE,1445723,2017-03-20,1016280020
1Z,CLOSED,1445723,,1016280020
30,ACTIVE,1446195,,1016650038
05,CLOSED,1446373,2017-03-24,1016670016
30,ACTIVE,1446195,2017-03-24,1016650038
1L,ACTIVE,1445507,2017-03-24,1016280020
30,CLOSED,1446195,2017-03-25,1016650038
05,ACTIVE,1446509,,1017090024
1L,CLOSED,1445507,2017-03-27,1016280020
09,ACTIVE,1446825,,1016670016
45,ACTIVE,1443498,2017-03-30,1017830003
05,ACTIVE,1447002,,1018060007
04,CLOSED,1446961,2017-03-31,1016280052
45,CLOSED,1443498,2017-04-05,1017830003
30,ACTIVE,1448517,,1016430070
30,CLOSED,1448517,2017-04-20,1016430070
05,ACTIVE,1448920,,1016770044
45,CLOSED,1443498,2017-04-26,1017830003
09,CLOSED,1446825,2017-04-26,1016670016
58,ACTIVE,1449212,,1016280020
05,ACTIVE,1449699,,1016280052
12,ACTIVE,1450047,,1016770044
05,CLOSED,1449699,2017-05-06,1016280052
10,ACTIVE,1449973,2017-05-08,1018060007
58,CLOSED,1449212,2017-05-08,1016280020
05,ACTIVE,1450137,,1016380015
10,CLOSED,1449973,2017-05-09,1018060007
12,CLOSED,1450047,2017-05-10,1016770044
05,CLOSED,1447002,2017-05-09,1018060007
83,ACTIVE,1450234,,1016770044
05,ACTIVE,1450330,,1017080008
83,ACTIVE,1450428,,1016670009
1Z,ACTIVE,1450890,,1016300069
45,ACTIVE,1450891,,1016770040
1Z,ACTIVE,1450892,,1016300067
1Z,ACTIVE,1450893,,1016300065
1Z,ACTIVE,1450895,,1016300063
1Z,ACTIVE,1450897,,1016300061
05,ACTIVE,3603116,,3033260065
1Z,ACTIVE,1450892,2017-05-17,1016300067
83,ACTIVE,1450955,,1018060007
09,ACTIVE,1451003,,1016300069
05,ACTIVE,3603189,,3033260065
04,ACTIVE,1451172,,1018060007
58,ACTIVE,1451187,,1016670016
1Z,CLOSED,1450890,2017-05-19,1016300069
1Z,CLOSED,1450892,2017-05-19,1016300067
1Z,CLOSED,1450893,2017-05-19,1016300065
1Z,CLOSED,1450895,2017-05-19,1016300063
1Z,CLOSED,1450897,2017-05-19,1016300061
1Z,CLOSED,1451240,2017-05-19,1016300069
1Z,CLOSED,1451241,2017-05-19,1016300069
1Z,CLOSED,1451242,2017-05-19,1016300067
1Z,CLOSED,1451243,2017-05-19,1016300067
1Z,CLOSED,1451245,2017-05-19,1016300065
1Z,CLOSED,1451246,2017-05-19,1016300065
1Z,CLOSED,1451248,2017-05-19,1016300063
