receiveddate,count
2015-05-05,4
2015-01-17,4
2014-10-25,3
2017-05-26,3
2018-01-25,10
2015-07-27,1
2017-01-26,3
2016-10-05,3
2017-02-14,3
2017-02-12,2
2016-03-30,1
2017-01-04,3
2017-12-09,2
2017-12-05,2
2016-11-21,16
2016-03-21,2
2017-08-15,3
2015-12-17,1
2016-11-28,13
2016-09-13,1
2015-07-22,1
2017-01-27,1
2016-02-20,2
2017-01-19,2
2017-05-13,1
2015-09-08,5
2017-03-27,1
2017-07-10,3
2017-09-14,2
2018-01-06,17
2016-04-06,2
2015-12-04,2
2017-07-05,4
2015-10-21,3
2015-08-10,2
2015-03-28,1
2015-06-29,2
2017-12-11,1
2014-11-20,5
2016-12-02,13
2015-04-03,1
2017-11-06,14
2015-08-13,3
2016-08-12,4
2017-07-18,4
2017-05-17,2
2015-04-15,2
2017-10-19,1
2017-01-07,4
2015-01-25,2
2017-07-28,1
2016-12-28,3
2016-06-08,1
2016-12-20,3
2016-12-21,1
2016-05-10,3
2018-02-17,1
2016-04-03,2
2016-10-13,1
2017-10-02,1
2017-12-31,10
2015-03-05,5
2017-08-22,2
2015-03-01,3
2017-02-10,1
2018-01-01,1
2016-11-29,5
2017-12-17,3
2015-09-12,1
2017-10-30,5
2018-01-24,1
2015-11-13,2
2015-09-13,1
2015-11-19,3
2017-06-24,2
2018-01-11,4
2017-10-26,1
2016-04-26,1
2017-05-20,1
2014-07-14,3
2015-11-16,1
2018-01-08,18
2016-11-15,1
2017-10-06,1
2015-10-26,4
2015-02-18,5
2016-11-22,5
2018-02-09,2
2016-05-09,2
2015-03-23,2
2015-07-15,2
2016-05-06,3
2015-01-28,7
2017-06-18,1
2014-10-23,5
2016-02-05,3
2015-01-26,3
2015-10-01,1
2017-06-14,2
2018-01-02,8
2017-11-27,2
2016-11-14,2
2016-08-31,5
2017-01-01,1
2017-03-18,1
2018-01-28,1
2014-08-22,1
2016-12-01,4
2017-03-22,1
2016-10-19,2
2017-04-04,1
2014-11-16,3
2017-11-25,2
2016-04-27,3
2015-01-01,1
2015-03-12,2
2015-07-28,1
2015-08-28,11
2017-08-30,1
2017-07-25,2
2018-01-03,3
2016-04-20,1
2017-08-23,1
