receiveddate,count
2016-11-10,12
2015-05-05,18
2015-01-17,28
2014-10-25,14
2015-12-24,15
2017-05-26,8
2018-01-25,29
2015-05-16,4
2015-02-02,28
2015-07-27,12
2017-01-26,15
2016-10-05,18
2018-04-09,16
2014-07-22,4
2017-02-14,16
2017-02-12,22
2015-05-24,3
2016-03-30,14
2017-01-04,13
2017-12-09,25
2017-12-05,16
2015-09-26,2
2016-11-21,45
2016-03-21,13
2017-08-15,16
2014-09-01,4
2015-12-17,14
2016-11-28,28
2016-09-13,11
2018-05-15,12
2015-07-22,13
2017-01-27,21
2018-03-11,12
2016-02-20,9
2017-01-19,25
2017-05-13,16
2015-04-19,9
2015-09-08,34
2017-03-27,12
2017-07-10,16
2017-09-14,9
2018-01-06,145
2016-04-06,9
2018-05-18,4
2015-12-04,24
2017-01-15,13
2017-07-05,10
2016-07-28,11
2015-10-21,19
2017-04-13,10
2015-08-10,10
2015-03-28,10
2015-06-29,14
2017-12-11,30
2018-02-23,13
2014-11-20,25
2016-12-02,36
2015-04-03,8
2017-05-28,9
2014-07-09,4
2017-11-06,15
2015-10-22,7
2015-06-10,10
2015-07-11,5
2014-01-21,1
2015-08-13,11
2016-04-14,11
2015-11-14,29
2014-12-23,14
2016-08-12,9
2017-07-18,11
2017-05-17,15
2014-11-10,13
2015-05-07,7
2015-04-15,7
2017-10-19,9
2017-01-07,43
2015-01-25,26
2015-03-20,32
2017-07-24,8
2017-07-28,9
2017-10-01,7
2016-04-05,15
2018-05-12,13
2018-04-16,31
2016-12-28,25
2016-06-08,13
2016-12-20,46
2016-12-21,21
2016-05-10,10
2018-05-13,6
2018-02-17,5
2016-04-03,22
2015-08-01,5
2018-02-02,18
2016-06-18,8
2016-10-13,18
2014-08-02,3
2016-08-15,5
2014-08-27,2
2017-10-02,14
2015-03-24,18
2016-06-25,6
2017-12-31,47
2015-03-05,36
2017-08-22,4
2015-03-01,16
2018-03-25,4
2015-07-25,8
2015-07-30,2
2017-02-10,32
2018-01-01,85
2016-11-29,21
2017-12-17,11
2015-09-12,8
2014-08-04,4
2017-10-30,30
2018-01-24,19
2015-11-13,25
2018-03-09,24
2015-09-13,6
2015-11-19,11
2017-04-10,15
2017-06-24,6
2018-05-27,2
2016-04-12,6
2015-07-02,15
2015-07-20,13
2018-01-11,26
2018-04-10,11
2017-10-26,24
2016-06-29,12
2017-04-01,7
2016-04-26,4
2016-09-15,8
2017-05-20,6
2017-08-02,8
2014-07-14,17
2015-11-16,20
2018-01-08,76
2015-06-14,5
2017-09-13,8
2016-11-15,23
2017-10-06,7
2015-06-27,7
2015-10-26,27
2014-06-16,9
2015-02-18,64
2016-01-01,2
2015-03-07,13
2016-11-22,39
2018-02-09,17
2016-05-09,10
2017-09-23,4
2015-03-23,15
2015-07-15,11
2016-05-06,8
2015-07-10,5
2015-01-28,58
2017-06-18,2
2014-10-23,37
2016-02-05,17
2018-05-02,15
2015-01-26,46
2015-10-01,10
2016-05-28,3
2018-03-31,11
2017-06-14,5
2018-01-02,87
2017-11-27,19
2016-11-14,13
2016-08-31,14
2017-01-01,16
2015-03-17,19
2016-05-04,10
2015-08-31,15
2017-03-18,13
2018-01-28,12
2014-08-22,5
2014-04-15,1
2013-11-12,1
2016-12-01,25
2016-05-05,17
2016-06-26,3
2017-03-22,28
2017-06-11,4
2016-10-19,9
2016-01-19,8
2017-04-04,26
2014-11-16,31
2017-11-25,14
2014-06-27,2
2016-04-27,19
2018-04-22,4
2015-01-01,10
2015-03-12,22
2016-10-01,5
2017-06-29,5
2015-07-28,9
2018-02-26,19
2015-08-28,24
2017-08-30,10
2017-10-21,3
2017-07-25,16
2018-01-03,69
2016-04-20,6
2017-08-23,9
2018-05-20,8
2017-08-10,4
2015-01-19,24
2016-01-22,6
2016-10-12,30
2016-11-01,22
2017-11-17,16
2014-10-05,13
2017-08-04,10
2015-10-11,8
2018-05-06,7
2014-04-21,1
2016-10-24,28
2017-02-06,17
2016-07-03,4
2016-06-16,6
2014-09-04,8
2014-11-12,21
2016-07-07,9
2014-02-12,1
2018-03-24,8
2018-04-29,10
2017-04-06,15
2018-05-17,12
2014-09-28,3
2015-08-15,7
2017-03-25,9
2017-05-01,6
2014-07-23,9
2017-03-19,12
2015-05-13,9
2017-03-30,15
2014-07-03,9
2017-03-17,33
2015-03-29,14
2017-07-17,17
2014-06-28,1
2017-12-29,76
2014-07-15,9
2015-04-06,17
2015-11-08,11
2015-05-12,8
2016-09-23,12
2015-11-21,12
2014-11-15,32
2015-12-26,10
2015-11-11,12
2015-06-30,24
2017-05-16,12
2016-02-27,14
2017-02-07,22
2014-08-21,6
2018-01-18,33
2016-09-27,10
2016-01-05,10
2015-10-29,16
2015-10-19,66
2014-10-28,10
2015-08-08,7
2015-12-23,12
2016-08-02,16
2017-01-25,16
2017-07-22,12
2016-07-31,5
2017-09-12,8
2014-08-10,1
2015-09-03,11
2016-03-14,22
2015-10-17,31
2016-03-31,11
2015-04-21,16
2015-07-05,3
2016-09-16,16
2017-03-02,19
2015-03-26,11
2017-08-21,5
2017-05-08,23
2018-03-10,8
2014-10-29,23
2015-12-09,30
2015-03-03,25
2016-07-06,19
2016-08-14,5
2014-12-07,16
2018-01-22,15
2018-02-13,19
2014-10-20,46
2016-10-08,6
2017-02-03,18
2016-06-23,9
2016-10-02,2
2014-12-04,17
2015-03-30,23
2017-05-09,19
2015-09-02,19
2017-10-14,3
2018-04-08,7
2014-09-15,8
2016-02-25,13
2016-12-25,8
2015-06-20,5
2015-12-27,11
2017-12-13,45
2014-08-08,3
2016-12-15,44
2018-01-20,13
2016-04-17,6
2017-11-24,28
2018-01-15,30
2017-02-15,18
2017-08-25,10
2016-08-24,19
2017-07-19,9
2016-06-22,8
2017-12-24,9
2018-04-14,7
2015-08-06,12
2016-01-11,3
2016-10-28,29
2015-09-11,12
2018-02-28,13
2014-10-15,5
2015-08-04,10
2014-09-14,3
2018-05-16,16
2015-03-21,17
2016-09-24,2
2016-06-01,11
2016-07-08,20
2015-09-23,22
2015-12-02,27
2016-05-19,8
2014-09-06,5
2015-05-02,5
2015-12-15,16
2018-04-21,10
2016-09-18,4
2015-05-28,7
2015-06-16,20
2017-05-14,6
2014-07-24,11
2018-03-03,18
2014-09-25,10
2015-12-16,16
2017-11-07,45
2015-06-07,3
2015-04-12,8
2015-10-24,22
2017-09-16,5
2014-09-26,2
2014-11-28,21
2017-11-09,38
2015-05-14,14
2014-12-28,8
2015-04-09,16
2016-08-10,17
2017-01-08,49
2014-09-23,5
2015-10-27,36
2015-11-10,25
2014-07-12,6
2016-03-17,11
2018-02-07,28
2018-01-12,12
2016-07-13,6
2018-01-10,45
2015-01-08,135
2015-06-08,8
2015-05-17,1
2015-12-20,36
2017-09-27,6
2016-05-21,2
2017-03-14,27
2015-06-05,9
2016-08-21,3
2016-11-23,30
2017-03-11,25
2016-03-18,12
2018-02-27,14
2017-03-21,17
2015-01-10,38
2017-08-24,14
2018-01-13,23
2017-04-26,14
2016-09-10,5
2017-04-16,9
2018-02-08,37
2014-10-21,12
2017-09-04,4
2016-02-18,18
2017-06-19,14
2015-09-22,18
2016-04-10,10
2017-07-16,8
2015-11-24,26
2015-02-28,18
2016-03-27,19
2016-12-03,23
2015-12-03,24
2016-09-22,7
2014-07-11,8
2017-03-31,13
2017-12-16,26
2013-12-08,2
2018-01-14,30
2016-05-25,8
2014-09-20,8
2015-06-06,4
2017-08-01,13
2016-10-26,52
2014-09-22,8
2016-12-30,26
2018-01-04,75
2014-11-01,24
2018-04-12,13
2016-09-30,2
2014-06-20,4
2014-07-13,4
2015-03-14,8
2017-04-18,15
2016-04-24,8
2016-08-07,7
2017-02-20,14
2018-03-18,9
2016-07-29,9
2016-10-18,11
2017-08-31,8
2015-08-14,28
2016-11-04,11
2016-09-02,6
2015-04-08,25
2017-08-28,5
2015-07-01,27
2016-01-28,17
2018-03-30,9
2015-12-06,11
2017-03-03,17
2014-10-04,3
2016-07-17,3
2018-02-14,10
2015-11-23,44
2014-08-12,8
2014-07-02,5
2014-05-05,1
2016-03-28,22
2016-03-29,31
2017-11-29,12
2016-02-11,40
2017-06-05,7
2016-03-19,22
2017-02-25,10
2018-03-15,17
2014-08-30,2
2015-09-20,1
2014-09-10,12
2016-01-23,2
2017-06-15,11
2017-07-26,9
2017-11-30,19
2016-05-16,12
2015-08-11,16
2016-04-18,9
2014-12-13,19
2015-08-03,6
2017-10-09,6
2015-10-28,22
2017-02-19,16
2017-04-11,25
2014-10-07,11
2016-02-17,25
2017-11-11,78
2015-06-09,11
2016-06-28,13
2017-07-30,4
2017-03-12,28
2014-06-10,2
2017-06-20,11
2017-10-27,17
2014-12-21,20
2015-01-05,20
2014-08-31,2
2017-03-23,26
2017-03-01,16
2014-06-05,1
2018-03-02,15
2016-07-12,6
2017-09-30,1
2014-12-30,22
2015-05-23,6
2016-11-25,9
2015-09-06,5
2016-04-09,18
2013-11-14,1
2015-08-20,7
2016-05-03,11
2016-07-18,10
2015-09-25,5
2014-11-14,35
2015-01-06,34
2015-02-19,68
2015-12-21,35
2014-09-03,5
2015-05-27,3
2015-06-04,5
2016-03-13,4
2014-10-09,11
2016-01-04,3
2014-07-26,3
2014-09-11,13
2015-10-03,50
2016-03-03,16
2017-09-11,11
2017-01-28,18
2015-07-23,10
2015-10-04,33
2016-01-14,5
2016-05-17,7
2016-10-27,36
2016-06-09,10
2015-07-07,13
2016-01-31,15
2017-03-16,37
2018-03-08,18
2015-03-22,6
2017-06-21,16
2017-04-05,12
