date,class_A,class_B,class_C,A,B,C
2013-12-31,4,24,17,4,24,17
2014-01-15,4,31,22,4,31,22
2014-01-31,7,15,14,7,15,14
2014-02-15,6,21,13,6,21,13
2014-02-28,3,19,37,3,19,37
2014-03-15,2,10,9,2,10,9
2014-03-31,8,26,27,8,26,27
2014-04-15,7,28,36,7,28,36
2014-04-30,5,29,22,5,29,22
2014-05-15,1,7,4,1,7,4
2014-05-31,1,14,7,1,14,7
2014-06-15,13,38,25,13,38,25
2014-06-30,3,22,6,3,22,6
2014-07-15,6,40,13,6,40,13
2014-07-31,2,4,3,2,4,3
2014-08-15,3,13,4,3,13,4
2014-08-31,1,25,4,1,25,4
2014-09-15,4,13,4,4,13,4
2014-09-30,7,16,8,7,16,8
2014-10-15,2,10,5,2,10,5
2014-10-31,5,10,9,5,10,9
2014-11-15,11,21,7,11,21,7
2014-11-30,0,0,3,0,0,3
2014-12-15,0,3,3,0,3,3
2014-12-31,7,23,8,7,23,8
2015-01-15,0,22,17,0,22,17
2015-01-31,4,15,6,4,15,6
2015-02-15,1,11,6,1,11,6
2015-02-28,14,35,16,14,35,16
2015-03-15,17,37,20,17,37,20
2015-03-31,8,32,14,8,32,14
2015-04-15,6,27,9,6,27,9
2015-04-30,3,29,15,3,29,15
2015-05-15,4,48,13,4,48,13
2015-05-31,7,16,7,7,16,7
2015-06-15,3,19,1,3,19,1
2015-06-30,5,14,6,5,14,6
2015-07-15,8,28,8,8,28,8
2015-07-31,7,27,10,7,27,10
2015-08-15,13,45,32,13,45,32
2015-08-31,12,26,14,12,26,14
2015-09-15,7,36,14,7,36,14
2015-09-30,5,44,8,5,44,8
2015-10-15,3,22,6,3,22,6
2015-10-31,5,16,8,5,16,8
2015-11-15,6,16,13,6,16,13
2015-11-30,5,26,2,5,26,2
2015-12-15,0,8,1,0,8,1
2015-12-31,21,38,44,21,38,44
2016-01-15,9,35,19,9,35,19
2016-01-31,13,24,6,13,24,6
2016-02-15,1,15,6,1,15,6
2016-02-29,1,20,6,1,20,6
2016-03-15,5,19,14,5,19,14
2016-03-31,4,24,9,4,24,9
2016-04-15,7,22,3,7,22,3
2016-04-30,12,18,18,12,18,18
2016-05-15,3,15,8,3,15,8
2016-05-31,5,7,7,5,7,7
2016-06-15,1,4,3,1,4,3
2016-06-30,4,7,6,4,7,6
2016-07-15,5,15,5,5,15,5
2016-07-31,3,18,4,3,18,4
2016-08-15,3,32,11,3,32,11
2016-08-31,6,28,1,6,28,1
2016-09-15,0,10,2,0,10,2
2016-09-30,0,8,3,0,8,3
2016-10-15,8,50,8,8,50,8
2016-10-31,6,30,6,6,30,6
2016-11-15,11,9,20,11,9,20
2016-11-30,1,25,21,1,25,21
2016-12-15,2,9,3,2,9,3
2016-12-31,6,22,5,6,22,5
2017-01-15,12,59,18,12,59,18
2017-01-31,2,3,2,2,3,2
2017-02-15,6,7,3,6,7,3
2017-02-28,3,9,5,3,9,5
2017-03-15,2,16,18,2,16,18
2017-03-31,7,21,2,7,21,2
2017-04-15,18,42,13,18,42,13
2017-04-30,15,62,21,15,62,21
2017-05-15,50,86,44,50,86,44
2017-05-31,50,83,25,50,83,25
2017-06-15,40,56,21,40,56,21
2017-06-30,15,80,26,15,80,26
2017-07-15,30,59,16,30,59,16
2017-07-31,34,94,24,34,94,24
2017-08-15,20,54,17,20,54,17
2017-08-31,23,44,18,23,44,18
2017-09-15,10,17,14,10,17,14
2017-09-30,11,35,21,11,35,21
2017-10-15,6,31,7,6,31,7
2017-10-31,3,31,26,3,31,26
2017-11-15,1,18,11,1,18,11
2017-11-30,14,86,9,14,86,9
2017-12-15,11,18,10,11,18,10
2017-12-31,9,58,30,9,58,30
2018-01-15,22,77,13,22,77,13
2018-01-31,17,68,22,17,68,22
2018-02-15,36,63,51,36,63,51
2018-02-28,14,61,21,14,61,21
2018-03-15,9,49,14,9,49,14
2018-03-31,8,27,10,8,27,10
2018-04-15,5,65,8,5,65,8
2018-04-30,14,42,14,14,42,14
2018-05-15,16,59,14,16,59,14
2018-05-31,6,9,8,6,9,8
