count,caseopendate
1,2018-05-17 00:00:00
1,2018-05-11 00:00:00
1,2018-04-30 00:00:00
1,2018-04-23 00:00:00
1,2018-04-20 00:00:00
1,2018-04-18 00:00:00
1,2018-04-06 00:00:00
1,2018-04-02 00:00:00
1,2018-03-22 00:00:00
1,2018-03-16 00:00:00
4,2018-03-05 00:00:00
1,2018-02-26 00:00:00
1,2018-02-15 00:00:00
1,2018-02-06 00:00:00
1,2018-02-05 00:00:00
1,2018-02-02 00:00:00
1,2018-01-30 00:00:00
2,2018-01-22 00:00:00
1,2017-12-18 00:00:00
4,2017-12-01 00:00:00
5,2017-11-28 00:00:00
1,2017-11-14 00:00:00
1,2017-11-06 00:00:00
1,2017-11-02 00:00:00
2,2017-10-30 00:00:00
2,2017-10-16 00:00:00
1,2017-09-08 00:00:00
1,2017-08-31 00:00:00
1,2017-08-18 00:00:00
2,2017-08-15 00:00:00
1,2017-08-10 00:00:00
1,2017-06-30 00:00:00
1,2017-06-20 00:00:00
1,2017-06-05 00:00:00
1,2017-05-25 00:00:00
1,2017-05-22 00:00:00
2,2017-05-04 00:00:00
4,2017-04-20 00:00:00
1,2017-04-10 00:00:00
1,2017-04-06 00:00:00
1,2017-03-30 00:00:00
1,2017-03-28 00:00:00
1,2017-03-22 00:00:00
4,2017-03-20 00:00:00
1,2017-02-27 00:00:00
1,2017-02-24 00:00:00
1,2017-02-03 00:00:00
4,2017-01-23 00:00:00
1,2017-01-13 00:00:00
1,2016-12-15 00:00:00
1,2016-10-11 00:00:00
1,2016-10-06 00:00:00
1,2016-09-06 00:00:00
1,2016-06-14 00:00:00
1,2016-04-29 00:00:00
1,2016-04-21 00:00:00
1,2016-04-08 00:00:00
1,2016-04-06 00:00:00
4,2016-03-08 00:00:00
1,2016-02-18 00:00:00
1,2016-02-08 00:00:00
1,2016-01-05 00:00:00
3,2015-12-03 00:00:00
1,2015-10-22 00:00:00
1,2015-09-24 00:00:00
1,2015-09-21 00:00:00
1,2015-08-06 00:00:00
1,2015-07-21 00:00:00
1,2015-04-30 00:00:00
1,2015-04-20 00:00:00
1,2015-04-13 00:00:00
1,2015-04-09 00:00:00
1,2015-03-16 00:00:00
1,2015-03-04 00:00:00
1,2015-03-03 00:00:00
1,2015-02-24 00:00:00
2,2015-02-23 00:00:00
1,2014-12-18 00:00:00
2,2014-12-11 00:00:00
1,2014-11-18 00:00:00
1,2014-10-09 00:00:00
1,2014-08-15 00:00:00
1,2014-06-17 00:00:00
1,2014-06-16 00:00:00
1,2014-06-12 00:00:00
5,2014-05-05 00:00:00
1,2014-04-14 00:00:00
1,2014-04-01 00:00:00
1,2014-03-03 00:00:00
1,2014-02-24 00:00:00
1,2014-02-18 00:00:00
1,2014-01-28 00:00:00
1,2014-01-27 00:00:00
1,2014-01-24 00:00:00
1,2014-01-21 00:00:00
1,2014-01-09 00:00:00
2,2013-12-31 00:00:00
1,2013-10-29 00:00:00
1,2013-10-03 00:00:00
1,2013-09-16 00:00:00
1,2013-08-22 00:00:00
1,2013-08-15 00:00:00
1,2013-07-22 00:00:00
1,2013-07-19 00:00:00
1,2013-07-15 00:00:00
2,2013-04-15 00:00:00
1,2013-02-22 00:00:00
1,2013-02-04 00:00:00
1,2013-01-28 00:00:00
1,2013-01-14 00:00:00
1,2012-02-21 00:00:00
1,2011-08-30 00:00:00
1,2011-04-12 00:00:00
12,2010-12-08 00:00:00
1,2010-11-04 00:00:00
1,2010-08-20 00:00:00
1,2010-07-08 00:00:00
1,2010-04-22 00:00:00
1,2010-01-22 00:00:00
1,2009-08-03 00:00:00
1,2009-07-07 00:00:00
1,2009-07-01 00:00:00
1,2009-06-12 00:00:00
1,2009-04-16 00:00:00
1,2009-03-30 00:00:00
2,2009-03-16 00:00:00
1,2009-02-26 00:00:00
1,2009-02-19 00:00:00
1,2009-02-17 00:00:00
1,2009-02-06 00:00:00
4,2009-01-21 00:00:00
1,2008-12-15 00:00:00
1,2008-12-02 00:00:00
1,2008-09-23 00:00:00
1,2008-08-22 00:00:00
4,2008-08-11 00:00:00
4,2008-07-28 00:00:00
1,2008-04-28 00:00:00
1,2008-04-18 00:00:00
1,2008-03-25 00:00:00
2,2008-03-17 00:00:00
1,2008-03-03 00:00:00
1,2008-02-12 00:00:00
1,2008-01-28 00:00:00
1,2007-12-31 00:00:00
1,2007-12-11 00:00:00
1,2007-11-19 00:00:00
1,2007-10-22 00:00:00
1,2007-09-20 00:00:00
1,2007-09-14 00:00:00
1,2007-08-31 00:00:00
2,2007-08-27 00:00:00
1,2007-08-06 00:00:00
1,2007-07-05 00:00:00
1,2007-06-19 00:00:00
1,2007-06-13 00:00:00
1,2007-06-05 00:00:00
1,2007-03-30 00:00:00
1,2007-03-08 00:00:00
1,2007-02-23 00:00:00
1,2007-02-22 00:00:00
1,2007-02-01 00:00:00
1,2007-01-19 00:00:00
3,2007-01-10 00:00:00
2,2006-12-20 00:00:00
1,2006-11-08 00:00:00
1,2006-11-02 00:00:00
1,2006-10-27 00:00:00
1,2006-10-25 00:00:00
1,2006-09-11 00:00:00
1,2006-09-07 00:00:00
1,2006-06-15 00:00:00
2,2006-06-08 00:00:00
1,2006-05-16 00:00:00
1,2006-05-12 00:00:00
1,2006-05-09 00:00:00
1,2006-04-24 00:00:00
1,2006-04-18 00:00:00
1,2006-03-28 00:00:00
1,2006-03-27 00:00:00
1,2006-02-14 00:00:00
1,2006-01-03 00:00:00
1,1970-01-01 00:00:00
