novdescription,bbl,violationid
SECTION 27-2005 ADM CODE & 309 M/D LAW  ABATE THE NUISANCE CONSISTING OF EXPOSED ELECTRIC WIRES AT CEILING AND WALLS THROUGH OUT  AT BASEMENT,1017830003,8293240
"SECTION 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES AT GAS RANGE  IN THE KITCHEN  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016880042,12257466
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF MICE IN THE ENTIRE APARTMENT  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016880042,12257473
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           SOUTH WALL,         NORTH WALL IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269028
"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RISER  FROM WEST AT NORTH WALL IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269030
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE FOYER ,  THE 2nd ROOM  FROM NORTH AT EAST,  THE 1st ROOM  FROM NORTH AT WEST,  THE KITCHEN ,  THE BATHROOM   LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12273483
"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½ï¿½11-06(B)(2)           NORTH WALL,         EAST WALL IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12273484
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           WEST WALL,         CEILING,         NORTH WALL IN THE KITCHEN  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269027
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE           1st DOOR FRAME  FROM SOUTH AT WEST WALL IN THE 1st ROOM  FROM NORTH AT EAST LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269029
"SECTION 27-2070 ADM CODE  PROVIDE AN ADEQUATE SUPPLY OF GAS TO THE FIXTURES AT RANGE   IN THE KITCHEN  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269021
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). INOPERATIVE  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269022
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR INOPERATIVE  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269023
"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 0; WG TO REPLACE = 0; WG TO REPAIR = 2;         LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269024
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE AND OR WARPED WOOD FLOOR  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269025
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE AND OR INOPERATIVE INTERCOM SYSTEM  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269026
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           EAST WALL,         SOUTH WALL,         WEST WALL IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269032
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           EAST WALL,         WEST WALL IN THE FOYER  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269033
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           CEILING IN THE BATHROOM  LOCATED AT APT 10, 3rd STORY, 1st APARTMENT FROM WEST AT NORTH",1016880042,12269034
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE NORTH WALL  IN THE 1st ROOM  FROM NORTH LOCATED AT APT 31, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",1016280050,10052140
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           EAST WALL,         WEST WALL IN THE KITCHEN  LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11782833
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           WEST WALL,         NORTH WALL IN THE 2nd ROOM  FROM EAST AT NORTH LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11782834
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE           EAST WALL,         SOUTH WALL,         1st WINDOW FRAME  FROM NORTH AT EAST WALL,         WEST WALL IN THE 1st ROOM  FROM EAST LOCATED AT APT 12, 3rd STORY, 1st APARTMENT FROM EAST AT SOUTH",1016280050,11782837
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WEST CLOSET INTERIOR WEST WALL  IN THE 2nd ROOM  FROM NORTH LOCATED AT APT 31, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",1016280050,11785647
"SECTION 27-2005 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE EAST AND SOUTH WALLS  IN THE KITCHEN  LOCATED AT APT 31, 6th STORY, 1st APARTMENT FROM SOUTH AT WEST",1016280050,11785652
