novdescription,class,violationstatus,bbl
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING TOP & BOTTOM EXTERIOR PANES AT EAST WINDOW  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE MISSING SHUT-OFF VALVE KNOB OF RADIATOR AT NORTH  IN THE 1st ROOM  FROM NORTH AT WEST LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE DOOR SADDLE   IN THE BATHROOM  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD FLOOR  IN THE 2nd ROOM  FROM NORTH AT EAST LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  ARRANGE AND MAKE SELF-CLOSING THE DOORS ..  IN THE ENTRANCE  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",B,Close,1016880044
"SECTION 27-2018  ADMIN. CODE:  ABATE THE NUISANCE CONSISTING OF ROACHES IN THE ENTIRE APARTMENT  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC FLOOR TILES  IN THE BATHROOM  LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",B,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE SPRING BALANCE AT LOWER WINDOW SASH 1ST WINDOW FROM EAST AT SOUTH  IN THE 3rd ROOM  FROM EAST LOCATED AT APT 13, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST",B,Close,1016880044
"SECTION 27-2005 ADM CODE & 309 M/D LAW  ABATE THE NUISANCE CONSISTING OF SCALDING HOT WATER ( TEMPERTURE NO TO EXCEED 130 DEGREES  IN THE ENTIRE APARTMENT  LOCATED AT APT 2, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH",C,Close,1016880044
"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st DOOR  FROM EAST AT SOUTH WALL IN THE KITCHEN  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PAINT THAT TESTED POSITIVE FOR LEAD CONTENT AND THAT IS PEELING OR ON A DETERIORATED SUBSURFACE - USING WORK PRACTICES SET FORTH IN 28 RCNY ?11-06(B)(2)           1st DOOR FRAME  FROM EAST AT SOUTH WALL,         EAST WALL IN THE KITCHEN  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",C,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE BATHROOM ,  THE 2nd ROOM  FROM NORTH AT EAST  LOCATED AT APT 6, 2nd STORY, 1st APARTMENT FROM WEST AT NORTH",A,Close,1016880044
"SECTION  27-2005 ADM CODE  PAINT METAL IN ACCORDANCE WITH DEPT. REGULATION THE           1st RISER  FROM NORTH AT EAST WALL IN THE KITCHEN  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",A,Close,1016880044
"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT           WEST WALL,         CEILING,         NORTH WALL IN THE BATHROOM  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2026 ADM CODE  REPAIR THE BROKEN OR DEFECTIVE CONNECTION AT SINK WASTE LINE  IN THE KITCHEN  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2005, 2007 ADM CODE  FIRE EGRESS DEFECTIVE. REMOVE OBSTRUCTING BARS OR UNLAWFUL GATES FROM WINDOW TO FIRE ESCAPE OR PROVIDE APPROVED TYPE GATE ....  IN THE 3rd ROOM  FROM NORTH LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2005 ADM CODE  REPLACE WITH NEW THE BROKEN OR DEFECTIVE LOWER SASH WINDOW GLASS PANE  IN THE KITCHEN  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",C,Close,1016880044
"SECTION 27-2005 ADM CODE  PROPERLY REPAIR THE BROKEN OR DEFECTIVE INTERCOM SYSTEM  IN THE KITCHEN  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2046.1 HMC: REPAIR OR REPLACE THE CARBON MONOXIDE DETECTING DEVICE(S). MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2045 ADM CODE  REPAIR OR REPLACE THE SMOKE DETECTOR MISSING  IN THE ENTIRE APARTMENT  LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",B,Close,1016880044
"SECTION 27-2013 ADM CODE  PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT  ALL PEELING PAINT SURFACES IN  THE BATHROOM   LOCATED AT APT 4, 2nd STORY, 1st APARTMENT FROM EAST AT SOUTH",A,Close,1016880044
