count,bbl
684,3033260065
528,1016880042
452,1018480031
443,1016650033
410,1016880044
378,1016450001
360,1016330051
330,1016650034
305,1016770040
288,1016440059
272,1016300067
256,1016670016
249,1016300061
241,1016880040
219,1016650038
211,1018060007
201,1016300069
197,1017080008
194,1016600031
191,1016280050
180,1016770041
175,1016280052
164,1016770044
160,1017080007
157,1016610044
156,1016670018
151,1016670009
145,1016610017
139,1017090024
134,1016300065
127,1016300072
116,1017080010
109,1016810007
104,1016660028
99,1016300063
96,1016280020
91,1016610018
83,1016610016
83,1016870011
80,1016280022
71,1016380016
48,1017830004
47,1016670039
47,1017080011
47,3033260062
41,1018470066
29,1018470068
26,1017840021
17,1016820051
15,1016430070
13,1016380015
12,1017830003
10,1016300002
9,1017080013
