bbl,hpd_viol_count,dob_comp_count
3033260065,684,9
1016880042,528,4
1018480031,452,59
1016650033,443,1
1016450001,378,5
1016330051,360,4
1016650034,330,20
1016770040,305,8
1016440059,288,6
1016300067,272,21
1016670016,256,64
1016300061,249,20
1016880040,241,8
1016650038,219,14
1018060007,211,42
1016300069,201,35
1017080008,197,32
1016600031,194,6
1016280050,191,22
1016770041,180,4
1016280052,175,9
1016770044,164,22
1017080007,160,18
1016610044,157,18
1016670018,156,11
1016670009,151,8
1016610017,145,12
1017090024,139,35
1016300065,134,14
1016300072,127,4
1017080010,116,4
1016810007,109,15
1016660028,104,29
1016300063,99,12
1016280020,96,54
1016610018,91,17
1016610016,83,10
1016870011,83,7
1016280022,80,2
1016380016,71,4
1017830004,48,1
1016670039,47,3
1017080011,47,3
1018470066,41,23
1018470068,29,12
1017840021,26,2
1016820051,17,3
1016430070,15,6
1016380015,13,9
1017830003,12,7
1016300002,10,3
